date,nav,daily_return_pct,action,bought,sold,holdings
20260106,1.0,0.0,初始建仓,家居用品(16.30) | 化学原料(13.73) | 医疗服务(21.58) | 军工电子(15.65) | IT服务(19.58),-,家居用品 | 化学原料 | 医疗服务 | 军工电子 | IT服务
20260107,1.0037210465237747,0.37,调仓,多元金融(15.00) | 房地产(26.34),化学原料 | 军工电子,家居用品 | 医疗服务 | 多元金融 | 房地产 | IT服务
20260108,1.0177422901773199,1.4,调仓,建筑材料(24.01) | 风电设备(33.08) | 专用设备(32.05),房地产 | 多元金融 | 医疗服务,家居用品 | 建筑材料 | 专用设备 | IT服务 | 风电设备
20260109,1.0319913514604704,1.4,调仓,文化传媒(27.53) | 通用设备(23.16) | 多元金融(30.95),家居用品 | 建筑材料 | IT服务,文化传媒 | 多元金融 | 专用设备 | 通用设备 | 风电设备
20260112,1.06572917384442,3.27,调仓,军工电子(42.62) | 建筑材料(36.32),多元金融 | 专用设备,文化传媒 | 建筑材料 | 军工电子 | 通用设备 | 风电设备
20260113,1.0407817523225473,-2.34,调仓,通信服务(23.93) | 综合(25.74) | 医疗服务(29.00),军工电子 | 文化传媒 | 风电设备,建筑材料 | 医疗服务 | 通信服务 | 通用设备 | 综合
20260114,1.0558924627733541,1.45,调仓,文化传媒(21.05),综合,文化传媒 | 建筑材料 | 医疗服务 | 通信服务 | 通用设备
20260115,1.0350382808050245,-1.98,调仓,电力(11.32) | 物流(22.75) | 其他社会服务(9.20) | 旅游及酒店(13.61) | 橡胶制品(9.58),文化传媒 | 建筑材料 | 医疗服务 | 通信服务 | 通用设备,电力 | 物流 | 其他社会服务 | 旅游及酒店 | 橡胶制品
20260116,1.033705608670474,-0.13,调仓,塑料制品(7.45) | 贸易(18.83) | 房地产(9.79),电力 | 旅游及酒店 | 橡胶制品,贸易 | 物流 | 其他社会服务 | 塑料制品 | 房地产
20260119,1.0467983323469077,1.27,调仓,电网设备(20.30) | 多元金融(7.81) | 综合(13.50) | 零售(11.97) | 化学纤维(9.33),贸易 | 物流 | 其他社会服务 | 塑料制品 | 房地产,电网设备 | 多元金融 | 综合 | 零售 | 化学纤维
20260120,1.046055337659009,-0.07,调仓,中药(9.30) | 化学制品(8.68) | 包装印刷(10.47),综合 | 多元金融 | 零售,电网设备 | 化学制品 | 中药 | 包装印刷 | 化学纤维
20260121,1.0480853124056184,0.19,调仓,贵金属(12.26) | 其他电子(17.31) | 油气开采及服务(13.61) | 小家电(11.66),电网设备 | 化学制品 | 包装印刷 | 化学纤维,中药 | 贵金属 | 其他电子 | 油气开采及服务 | 小家电
20260122,1.0607257877575338,1.21,调仓,贸易(15.45) | 物流(18.60),贵金属 | 小家电,贸易 | 物流 | 中药 | 其他电子 | 油气开采及服务
20260123,1.0664972218626192,0.54,调仓,钢铁(12.72) | 种植业与林业(13.49) | 光伏设备(21.14) | 工业金属(17.26),油气开采及服务 | 贸易 | 其他电子 | 物流,钢铁 | 种植业与林业 | 中药 | 工业金属 | 光伏设备
20260126,1.0746694081228167,0.77,调仓,电力(9.58) | 服装家纺(12.58) | 油气开采及服务(11.44) | 医疗器械(9.17),钢铁 | 种植业与林业 | 光伏设备 | 中药,医疗器械 | 电力 | 服装家纺 | 工业金属 | 油气开采及服务
20260127,1.0637735289707642,-1.01,调仓,贵金属(16.05) | 种植业与林业(13.42) | 医疗服务(9.26),油气开采及服务 | 医疗器械 | 工业金属,医疗服务 | 电力 | 种植业与林业 | 服装家纺 | 贵金属
20260128,1.0890097531240184,2.37,调仓,农化制品(18.97) | 油气开采及服务(16.55) | 工业金属(50.56),电力 | 医疗服务 | 种植业与林业,服装家纺 | 工业金属 | 农化制品 | 贵金属 | 油气开采及服务
20260129,1.1236424373863876,3.18,调仓,白酒(14.93),农化制品,白酒 | 服装家纺 | 工业金属 | 贵金属 | 油气开采及服务
20260130,1.0706316888636935,-4.72,调仓,造纸(8.07) | 种植业与林业(8.84) | 通信设备(6.77) | 化学制品(8.75) | 橡胶制品(8.77),白酒 | 服装家纺 | 工业金属 | 贵金属 | 油气开采及服务,造纸 | 种植业与林业 | 通信设备 | 化学制品 | 橡胶制品
20260202,1.0321862872550085,-3.59,调仓,电网设备(15.64) | 环保设备(6.26) | 其他社会服务(16.07) | 综合(6.59) | 零售(4.97),造纸 | 种植业与林业 | 通信设备 | 化学制品 | 橡胶制品,电网设备 | 环保设备 | 其他社会服务 | 综合 | 零售
20260203,1.052545835719599,1.97,调仓,军工电子(9.94) | 造纸(11.51) | 光伏设备(11.52) | 化学制品(16.93),综合 | 零售 | 环保设备 | 其他社会服务,电网设备 | 造纸 | 化学制品 | 军工电子 | 光伏设备
20260204,1.0677889491306813,1.45,调仓,煤炭开采加工(16.53) | 房地产(14.97) | 机场航运(12.21),军工电子 | 造纸 | 化学制品,机场航运 | 电网设备 | 煤炭开采加工 | 房地产 | 光伏设备
20260205,1.0457109387741783,-2.07,调仓,食品加工制造(9.68) | 种植业与林业(9.48) | 零售(11.39) | 纺织制造(15.44),电网设备 | 房地产 | 光伏设备 | 机场航运,食品加工制造 | 种植业与林业 | 纺织制造 | 煤炭开采加工 | 零售
20260206,1.0424741504975958,-0.31,调仓,贸易(14.21) | 包装印刷(9.79) | 塑料制品(9.46) | 光伏设备(12.13) | 油气开采及服务(11.20),食品加工制造 | 种植业与林业 | 纺织制造 | 煤炭开采加工 | 零售,贸易 | 包装印刷 | 塑料制品 | 光伏设备 | 油气开采及服务
20260209,1.0578266798838045,1.47,调仓,影视院线(18.16) | 建筑装饰(14.16) | 黑色家电(14.55),塑料制品 | 贸易 | 油气开采及服务,建筑装饰 | 包装印刷 | 黑色家电 | 光伏设备 | 影视院线
20260210,1.083312172886173,2.41,调仓,文化传媒(15.08) | 化学制品(12.68) | 纺织制造(13.08),建筑装饰 | 光伏设备 | 包装印刷,文化传媒 | 化学制品 | 纺织制造 | 黑色家电 | 影视院线
20260211,1.0686970849723383,-1.35,调仓,食品加工制造(8.34) | 建筑装饰(26.19) | IT服务(8.96) | 建筑材料(13.80),影视院线 | 文化传媒 | 黑色家电 | 纺织制造,建筑装饰 | 建筑材料 | 食品加工制造 | 化学制品 | IT服务
20260212,1.0636153118272567,-0.48,调仓,其他电源设备(14.03) | 通用设备(10.15) | 电力(15.85),食品加工制造 | 建筑材料 | 化学制品,建筑装饰 | 电力 | 其他电源设备 | 通用设备 | IT服务
20260213,1.0533987874200446,-0.96,调仓,通信服务(9.79) | 农化制品(7.87) | 环保设备(11.49) | 养殖业(6.57),其他电源设备 | 通用设备 | 建筑装饰 | IT服务,电力 | 环保设备 | 通信服务 | 农化制品 | 养殖业
20260224,1.0757750426887807,2.12,调仓,电网设备(17.33) | 油气开采及服务(18.21),通信服务 | 养殖业,电网设备 | 电力 | 环保设备 | 农化制品 | 油气开采及服务
20260225,1.0915991422880886,1.47,调仓,钢铁(15.84) | 美容护理(16.71) | 家居用品(11.30),电网设备 | 电力 | 油气开采及服务,钢铁 | 家居用品 | 环保设备 | 农化制品 | 美容护理
20260226,1.0941613354264126,0.23,调仓,电力(31.47) | 服装家纺(12.84) | 养殖业(12.80),钢铁 | 美容护理 | 家居用品,电力 | 服装家纺 | 环保设备 | 农化制品 | 养殖业
20260227,1.110331658548763,1.48,调仓,贸易(12.11) | 燃气(13.08) | 小金属(19.68),农化制品 | 环保设备 | 养殖业,贸易 | 小金属 | 电力 | 服装家纺 | 燃气
20260302,1.1130608126420811,0.25,调仓,种植业与林业(17.00) | 石油加工贸易(18.05) | 油气开采及服务(17.17) | 贵金属(20.81) | 港口航运(13.62),贸易 | 小金属 | 电力 | 服装家纺 | 燃气,种植业与林业 | 石油加工贸易 | 贵金属 | 油气开采及服务 | 港口航运
20260303,1.1552711223086087,3.79,调仓,煤炭开采加工(5.49) | 燃气(31.10),贵金属 | 种植业与林业,煤炭开采加工 | 石油加工贸易 | 油气开采及服务 | 燃气 | 港口航运
